5691, UH R AH S D IH K SH AH N 
12179, UW N AH K EY T 
9054, EH R IH T IY 
11683, R IH M AA R K AH B AH 
8981, IH R AH K AH L 
38372, AA D ER N 
80950, K EH R IH K T ER 
5486, B AE L AH N S T 
7096, NG K SH AH S 
15613, T ER P R IH T EY SH AH N 
4987, AE K Y AH 
5981, S EH N S IH T IH 
12461, F ER N 
78501, HH AA R D 
75143, D IH T 
84688, D EY T AH 
12795, R UW V AH L 
43853, N S IH S T 
114002, M AO R N IH NG 
11383, IH S T IH NG K SH AH N 
7845, T IH N Y UW IH NG 
6159, P Y AH L EY T 
23793, ER W AY Z 
11277, IH NG ER 
37540, AA R T N ER 
19679, P R AH D UW S ER 
9480, ER EY T IH NG 
18348, HH IH R OW 
204379, AH G EH N S 
6463, K AA N S AH K W AH N T L 
10050, R IH Z EH M B AH 
1354546, M AH N T 
169719, P AA L 
67917, P ER S IH N 
18989, L Y UW M 
12461, F L EH K S 
19512, M AH L T 
92392, P R AH F 
31577, N AH K EY SH AH N 
46449, EY ZH AH N 
84835, L AH P 
2519434, P R 
30107, F AH S IH L IH T IY 
4030919, Y UW 
6474, M ER CH AH N T 
8223, R IH S P EH K T IH V L IY 
7775, EH S T AH V AH L 
13518, W UH D AH N 
47299, D EH M AH K R AE T IH 
5957, K AH S T AH D 
62458, F L AO R 
16809, K AH M P EH R AH S AH 
20387, AH L T AH M AH T L 
6321, D AA K Y AH M EH N T ER 
47807, AY R AH N M AH N T 
19724, T IH P AH K AH 
5233, M AE N SH AH 
5020, EH R HH AW S 
8895, T R EY T IH V 
197335, AE K S 
58832, T R AH L 
7870, S T R AH K CH ER AH 
48010, K R AY M 
28023, IH K W IH P M AH 
15457, P OY N T M AH N T 
19621, T ER IH S T IH K 
7960, AH L T EY N IY AH S L IY 
17189, K L AY M AH 
9250, K AH N S EH N S AH 
6461, NG N AH S 
5882, P R AA S EH S ER 
37522, N UW Z P EY 
7978, T AW AH 
7026, R EY S IH 
127907, AO L M OW S T 
423968, IH M P 
6631, SH R IH M P 
7419, JH AE P AH N IY Z 
7574, IH N D AH K EY T ER 
568617, T S 
16776, G R IY N 
11039, JH AH D IY 
85009, R T ER 
5051, D EH V AH L 
17523, T EH N SH AH L 
29421, V IY HH 
14197, D IH S AH B 
8491, IH K S AY T AH 
6209, SH IH R 
9384, L EH K T IH V 
9826, ER G OW 
36381, L OW B AH L 
11483, IH N T R AH D AH K SH AH 
152673, AH N D ER S T 
40492, D IH L IH V 
9738, K Y UH R IY AH S 
26039, AA K R AH S IY 
26513, EH R AH N T L IY 
9596, M AH D IY 
14864, AH M EY T OW 
15199, AH N D AH M EH N T AH L 
5949, N AA N AH M AH S 
5479, B L AA N 
17499, EH F AH N IH SH AH N 
5709, S IH M AH L EH R AH T 
58914, S IH K Y UH R AH T 
8136, AH M P AE N Y AH N 
134203, P R EH Z IH D AH N T 
786995, HH IH M 
23468, AO F ER 
8157, AH S T R AA N AH M 
30372, AH S OW 
85044, S AO R 
29170, N S T R EY T 
63801, K AA M AH N 
18932, F IY M EY L 
72603, S IH CH UW EY SH 
22722, W ER K S 
7675, EH N G EY JH M 
121512, R IY L EY SH AH N 
6942, K Y ER AH S IY 
20399, F AH N IY 
16810, AA L AH M 
